product_name,price,rating,sold,address
"ZTE Blade A35  6,75"" Display FHD RAM 4GB ROM 64GB 5.000 mAh Fast Charge Garansi Resmi Android",925,5,232 Terjual,Jakarta Pusat
"vivo Y19S 50 MP AI Camera, 5500mAh+15W FlashCharge, SGS Drop Resistance, IP64 Dust Waterproof, Dual Speaker Audio Boost",1.499.000,4.9,"1,2RB Terjual",Kab. Tangerang
"Apple iPhone 13 128GB Midnight, Kamera Canggih, Baterai Tahan Lama",7.699.000,4.9,10RB+ Terjual,Kab. Tangerang
VIVO Y19s Y03t 6/128GB 4/128GB 4/64GB GARANSI RESMI 5000mAh Battery original Vivo hp,1.199.000,4.9,10RB+ Terjual,Jakarta Utara
"Realme C2 Minus Lcd, Mesin Normal Tanpa Pola",190,4.7,"1,1RB Terjual",Bogor
LZPPO SMARTPHONE Y03 RAM 4/64 GB - VIVO Y 03 RAM 4GB ROM 64GB GARANSI RESMI,980,,1 Terjual,Kab. Tangerang
Samsung Lipat Caramel GT E1272 Dual SIM  Lipat model lama Grosir,139.925,4.7,"3,4RB Terjual",Jakarta Barat
"HP NOKIA 216 BARU [GARANSI 1 TAHUN] Memori, Musik, Kamera, Bluetooth, Radio, MP3, Micro SD",198,4.7,656 Terjual,Jakarta Utara
iPhone 11Pro Max 64GB Second Original100% INTER 6.5“OLED-Ori Silent Camera Fullset Mulus Handphone,4.638.000,5,5 Terjual,Jakarta Utara
vivo y12i minus lcd baca deskripsi!!!,300,4.8,211 Terjual,Bogor
cassing samsung A35/A55 5G (PL),98,,,Bandar Lampung
✔️Grosir Samsung Flip Duos Gt E.1272 Original Normal Minus Kesing,84,4.9,502 Terjual,Kab. Cirebon
"[ HARGA PROMO ] A78 5G 8/128GB , 8/256GB Free TG Garansi 12 Bulan",860,5,38 Terjual,Jakarta Barat
Motorola G45 5G 8/128GB - Up to 16GB Extended RAM - Snapdragon 6s Gen 3 - 6.5 Inch Screen Size - Gorilla Glass 3 - 120Hz - 50MP Main Camera - 16MP Selfie Camera - 5000mAh - NFC - Dolby Atmos Stereo Speaker - Bonus Charger 20W & Clear Case,2.298.000,4.9,715 Terjual,Jakarta Utara
INFINIX Smart 9 4/128GB - Up to 8GB Extended RAM - 6.7 inch 120Hz Punch Hole Display - Helio G81 - 5000 mAh,1.135.000,4.9,"2,7RB Terjual",Jakarta Utara
"Official TECNO SPARK 30C – 8+8GB*+256GB, 120Hz Display, Sony 48MP Camera, Helio G81, 5000mAh, IP54, 7.8mm Ultra Slim, NFC, Garansi 12+1 Bulan",1.379.000,5,122 Terjual,Jakarta Pusat
"Telephone Selular Smartphone OPPO A78 RAM 8/128GB, 8/256GB 5G 33WATT FULLSET GARANSI 12 BULAN",835,5,70 Terjual,Jakarta Barat
realme P3 5G 12GB+14GB*|256GB (Snapdragon® 6 Gen 4 | 6000mAh Battery | 45W Fast Charge | NFC),3.999.000,5,149 Terjual,Jakarta Utara
PROMO 6.6 Smartphone type A78 RAM 8/128GB 8/256GB fullset  BERGARANSI 1 TAHUN,829,4.3,49 Terjual,Jakarta Barat
Tablet Advan Mito Evercoss Normal Siap Pakai,220,3.6,"3,4RB Terjual",Kab. Cirebon
Ponsel Mini Sentuh Ultra Kecil Soyes XS 15 S 23,497.89,4.7,784 Terjual,Jakarta Barat
SAMSUNG GALAXY A14 RAM 6/128 GB GARANSI 1 TAHUN,1.119.000,4.6,6RB Terjual,Jakarta Barat
"NEW VIVO y17,v15  ram 8/256gb ,y67 ram 6/128 baru full phone 6.35 inci handphone sidik jari android 4g 5000mah",388,4.5,513 Terjual,Jakarta Barat
Realme Note 60x 4GB+8GB*|64GB Rangka Metal Tahan Banting | Baterai Besar 5000mAh | Tahan Debu dan Percikan Air | Garansi Kelancaran Hingga 48-Bulan,1.199.000,4.9,"5,7RB Terjual",Jakarta Utara
"Vivo Y18 - NFC Multifunctions, 50MP AI Camera, 5000 mAH+15W Flashcharge",1.299.000,4.9,"9,6RB Terjual",Kab. Tangerang
invoice ip 12 pro second like new allop,150,5,139 Terjual,Surabaya
[NEW LAUNCH] Vivo Y19s 4/128 6/128 50MP Camera Unisoc T612 Processor Garansi Resmi Vivo Terbaru 2024,1.499.000,5,510 Terjual,Jakarta Utara
Xiaomi POCO X6 Pro 5G 12/512 Mediatek Dimensity 8300 Ultra,4.100.000,4.9,45 Terjual,Kab. Bandung Barat
iQOO Z9x 8/256GB - Garansi Resmi,3.299.000,,,Banjarmasin
Evercoss t7 jadul bonus earphone murah hp cas,105,5,3 Terjual,Kab. Pasuruan
Handphone TV GRATIS Ti.phone E87 BISA TV dan Radio Tanpa kuota E87,75,4.2,871 Terjual,Dumai
Iphone 4s 4g Kondisi Utuh Original Apple Lcd,79,4.2,106 Terjual,Kab. Jember
MAXTRON P12i BOMBA - HP ANTENA - HP POWERBANK - BLUETOOTH SPEAKER,299,4.9,"3,7RB Terjual",Surabaya
HP Nokia NEW 130 2023 HANDPHONE Nokia Hp murah Mobile Phone 2 SIM,157.776,4.8,879 Terjual,Jakarta Barat
【✅100% Original】ASLI SAMSUNG SmartWatch Series 9 Pro Max NFC Waterproof Bluetooth Call Jam Smartwatch Wanita Pria Monitor Detak Jantung Tekanan Darah wireless charging Dan Ganti Wallpapper Jam Tangan Wanita Jam Tangan Couple Jam Tangan Digital Wanita,147,4.5,10RB+ Terjual,Bekasi
TrailTop Matras Yoga Premium Anti Slip Matras Olahraga Yoga Mat Karpet Olahraga Workout 8/10mm,70.9,4.8,"2,8RB Terjual",Kab. Tangerang
Tablet Pc P70  Android13 8000mAh 10.1inch hiburan kantor ultra tipis SiM/WiFi tab Komputer tablet murah Tablet Android,510,3,14 Terjual,Surabaya
"HNF CCTV Kamera Outdoor 8MP IP66 Tahan Air - WiFi Jarak Jauh via HP ,Night Vision , Deteksi Gerakan & Dua Arah Audio, PTZ 360° untuk Rumah/Toko (Kontrol HP, Micro SD Support)",59.784,4.6,"3,9RB Terjual",Kab. Tangerang
Krimer/creamer Non Dairy Average Quality -Khusus Gosend/GrabExpress-,360,5,280 Terjual,Depok
Simbojoy SmartWatch ZL02D Layar Terang 1.28'' Anti Air IP67 Olahraga Pemantauan Tidur dan Detak Jantung Jam Tangan Pria Wanita,229,4.8,10RB+ Terjual,Jakarta Utara
TrailTop Matras Olahraga NBR Yoga Mat Matras Yoga Anti Slip Karpet Olahraga Tebal 8-10 mm,70.9,4.8,"9,2RB Terjual",Kab. Tangerang
Smartwatch i8 Ultra Watch 8 Free 2 Tali+Earphone TWS Fitness Tracker Bluetooth,92.5,4.6,10RB+ Terjual,
【24H online】Aolon Curve Smart Watch Original IP68 Waterproof  2.01-inch Curved IPS Screen Bluetooth Call Running Pace  Custom Wallpaper Smartwatch Health Monitoring,248.999,4.9,896 Terjual,Tangerang
SUSU ULTRAMIMI KIDS 125ml STROBERI,130.9,5,210 Terjual,Kab. Bekasi
【100%Ori】HT Handy Talky Baofeng 888S Walkie talkie Komunikasi UHF Walky Talky Radio 2PCs Walkie Talkie Jarak Jauh 2800mAH HT Wlan UHF 2 Units Handy Talky Waterproof Portable With Charger / Headset,68.429,5,24 Terjual,Kab. Tangerang
"Tablet Murah Advan, Evercoss, Mito Semua Merk//Untuk main game//Bisa COD",229,5,9 Terjual,Kab. Cirebon
【New】Aolon Curve 3 Jam Smartwatch 1.93-inci Layar IPS Tombol Kustom Telepon Bluetooth Pemantauan Tidur Tahan Air IP68 Berat 22g,329,4.9,224 Terjual,Tangerang
Speeds Matras Yoga Mat Olahraga Senam Lantai Meditasi Gym Fitnes Matras Yoga Pilates,82,4.9,303 Terjual,Bandung
Aolon GTR Jam Smartwatch Waterproof 1.39 Inch HD Touch Screen Kalkulator Wallpaper Kustom Jam Tangan Pria Wanita Heart Rate Blood Oxygen Monitoring Sports Watch Bluetooth Call Smart Watch PK ZL02,289,4.8,10RB+ Terjual,Tangerang
【✅100% Original】ASLI SAMSUNG SmartWatch Series 9 Pro Max NFC Waterproof Bluetooth Call Jam Smartwatch Wanita Pria Monitor Detak Jantung Tekanan Darah wireless charging Dan Ganti Wallpapper Jam Tangan Wanita Jam Tangan Couple Jam Tangan Digital Wanita,147,4.5,10RB+ Terjual,Bekasi
TrailTop Matras Yoga Premium Anti Slip Matras Olahraga Yoga Mat Karpet Olahraga Workout 8/10mm,70.9,4.8,"2,8RB Terjual",Kab. Tangerang
Tablet Pc P70  Android13 8000mAh 10.1inch hiburan kantor ultra tipis SiM/WiFi tab Komputer tablet murah Tablet Android,510,3,14 Terjual,Surabaya
"HNF CCTV Kamera Outdoor 8MP IP66 Tahan Air - WiFi Jarak Jauh via HP ,Night Vision , Deteksi Gerakan & Dua Arah Audio, PTZ 360° untuk Rumah/Toko (Kontrol HP, Micro SD Support)",59.784,4.6,"3,9RB Terjual",Kab. Tangerang
Krimer/creamer Non Dairy Average Quality -Khusus Gosend/GrabExpress-,360,5,280 Terjual,Depok
Simbojoy SmartWatch ZL02D Layar Terang 1.28'' Anti Air IP67 Olahraga Pemantauan Tidur dan Detak Jantung Jam Tangan Pria Wanita,229,4.8,10RB+ Terjual,Jakarta Utara
TrailTop Matras Olahraga NBR Yoga Mat Matras Yoga Anti Slip Karpet Olahraga Tebal 8-10 mm,70.9,4.8,"9,2RB Terjual",Kab. Tangerang
Smartwatch i8 Ultra Watch 8 Free 2 Tali+Earphone TWS Fitness Tracker Bluetooth,92.5,4.6,10RB+ Terjual,
【24H online】Aolon Curve Smart Watch Original IP68 Waterproof  2.01-inch Curved IPS Screen Bluetooth Call Running Pace  Custom Wallpaper Smartwatch Health Monitoring,248.999,4.9,896 Terjual,Tangerang
SUSU ULTRAMIMI KIDS 125ml STROBERI,130.9,5,210 Terjual,Kab. Bekasi
【100%Ori】HT Handy Talky Baofeng 888S Walkie talkie Komunikasi UHF Walky Talky Radio 2PCs Walkie Talkie Jarak Jauh 2800mAH HT Wlan UHF 2 Units Handy Talky Waterproof Portable With Charger / Headset,68.429,5,24 Terjual,Kab. Tangerang
"Tablet Murah Advan, Evercoss, Mito Semua Merk//Untuk main game//Bisa COD",229,5,9 Terjual,Kab. Cirebon
【New】Aolon Curve 3 Jam Smartwatch 1.93-inci Layar IPS Tombol Kustom Telepon Bluetooth Pemantauan Tidur Tahan Air IP68 Berat 22g,329,4.9,224 Terjual,Tangerang
Speeds Matras Yoga Mat Olahraga Senam Lantai Meditasi Gym Fitnes Matras Yoga Pilates,82,4.9,303 Terjual,Bandung
Aolon GTR Jam Smartwatch Waterproof 1.39 Inch HD Touch Screen Kalkulator Wallpaper Kustom Jam Tangan Pria Wanita Heart Rate Blood Oxygen Monitoring Sports Watch Bluetooth Call Smart Watch PK ZL02,289,4.8,10RB+ Terjual,Tangerang
【✅100% Original】ASLI SAMSUNG SmartWatch Series 9 Pro Max NFC Waterproof Bluetooth Call Jam Smartwatch Wanita Pria Monitor Detak Jantung Tekanan Darah wireless charging Dan Ganti Wallpapper Jam Tangan Wanita Jam Tangan Couple Jam Tangan Digital Wanita,147,4.5,10RB+ Terjual,Bekasi
TrailTop Matras Yoga Premium Anti Slip Matras Olahraga Yoga Mat Karpet Olahraga Workout 8/10mm,70.9,4.8,"2,8RB Terjual",Kab. Tangerang
